;id;type;name;first_name;second_name;picture_url;producer;country;abv;average_rating;rating_count;description.content;description.google_translation;description.original_content
0;1;gin;1085 Toledo Gin;;;https://ginventory.reed.be/api/v2/products/1/picture?type=normal;Licores Caro;Spain;40;6.6;74.0;This Premium Geneva Toledana, is called 1085, to mark the milestone of the year in which the Kingdom of Taifa Arab Toledo agrees to join the kingdom of Castile paying allegiance to their king in exchange for a bull that ensures respect for all citizens regardless of their origin, race ... 1085 Gin is made in the style of traditional London Dry Gin way. In the process of making natural ingredients, unmalted barley and juniper fruits are used. In the first phase of the maceration process it is done in copper stills barley and fruits of juniper. Subsequently, a triple is done ... As a result of careful preparation 1085 is a gin 40º bright, light and soft on the palate, very balanced and complex aromatic variety. Each of the 8 botanicals used up its characteristic and unique personality: Juniper gives a very strong base. Cardamom and angelica root are the main botanical ...;True;"Esta Ginebra Premium Toledana, lleva por nombre 1085, para conmemorar el hito histórico de ese año en que el Reino de Taifas Árabe de Toledo acepta unirse al reino de Castilla rindiendo vasallaje a su rey a cambio de una bula que asegura el respeto a todos los ciudadanos con independencia de su origen, raza ...
Gin 1085 está elaborada al estilo London Dry Gin de manera tradicional. En el proceso de elaboración se usan ingredientes naturales, cebada sin maltear y frutos de enebro. En la primera fase del proceso se realiza la maceración en alambiques de cobre de la cebada y los frutos de enebro. Posteriormente se realiza una triple ...
Como resultado de su esmerada elaboración 1085 resulta una ginebra de 40º brillante, ligera y suave en el paladar, muy equilibrada y de compleja variedad aromática. Cada uno de los 8 botánicos utilizados componen su característica y única personalidad: El enebro le da una base muy intensa. El cardamomo y la raíz de Angélica son los botánicos principales ..."
5;6;gin;119 Gin;;;https://ginventory.reed.be/api/v2/products/6/picture?type=normal;Carmelitano Distilleries;Spain;40;6.9;39.0;"119 Gin is a Premium London Dry Gin. It is obtained by a manual process of double distillation in traditional cooper stills, in small batches of 500 liters each.
The final product is crystalline, with fragrances and flavors of juniper, cardamom and ginger and with fresh herbaceous notes. It is silky and balsamic on the palate, with a pleasant citrus aftertaste final.
Its name is based on the years that the distilleries are open (since 1896) when this new gin has been launched.";False;
9;10;gin;12 Bridges Gin - (Discontinued);12 Bridges Gin;(Discontinued);https://ginventory.reed.be/api/v2/products/10/picture?type=normal;Integrity Spirits;United States;45;6.4;43.0;Aptly named for the number of bridges in our city, and for the 12 botanicals in its recipe, 12 Bridges will surprise your palate with its sweet Hungarian juniper berries, refreshing cucumber and peppery ginger. 12 Bridges will intrigue the most refined gin connoisseur, and quite possibly inspire a new breed of gin drinker.;False;
15;16;gin;12/11 Gin;;;https://ginventory.reed.be/api/v2/products/16/picture?type=normal;Destilerías Liber;Spain;42,5;6.9;23.0;"This gin is London Dry type and is made with a combination of botanical -enebro once, cardamom, rosemary, thyme, lemon and tangerine among others and meltwater Sierra Nevada.
The Gin 12/11 is a classic gin, dry cutting, with aromatic touches, notes of juniper and citrus touches. Clean and transparent appearance, has a lasting fresh finish in time.
This London Dry sample number was 12 and has 11 botanicals in their development, which is why he was given the name Gin 12/11.";False;
21;22;gin;12/11 Gin Aurum Limited Edition;;;https://ginventory.reed.be/api/v2/products/22/picture?type=normal;Destilerías Liber;Spain;42,5;7.4;34.0;"Gin December 11 AURUM Limited Edition is a gin with a own character and personality that is launched with the intention of surprising the most demanding public.
The reduced production of this limited edition allows us to watch every step as it deserves, since each botanical distillation to bottling, through its meticulous aging in American oak barrels.
This gin contains small flakes of 24-carat gold inside.";False;
26;27;gin;1495 Gin Interpretatio;;;https://ginventory.reed.be/api/v2/products/27/picture?type=normal;Maison Villevert;France;45;7.5;5.0;"Discovered in a self-published collection of household food and drinks recipes, one of the oldest gin recipes on record forms the basis of our most ambitious project to date - Gin 1495. We handpicked a selection of spirit historians, writers and mixologists to verify the accuracy of the 1495 recipe. 
The panel then both replicated the original recipe (Gin 1495 - Verbatim) and created a modern interpretation (Gin 1495 - Interpretatio) with Jean-Sebastien Robicquet, oenologist, master distiller and founder of EWG Spirits & Wine.
Each aspect of production takes place in the grounds of Villevert, the 16th century family estate, which is home to the company headquarters. Maison Villevert has a 500 year history, steeped in winemaking and distilling, and this is the latest chapter.";False;
27;28;gin;1495 Gin Verbatim;;;https://ginventory.reed.be/api/v2/products/28/picture?type=normal;Maison Villevert;France;45;7.3;8.0;"Discovered in a self-published collection of household food and drinks recipes, one of the oldest gin recipes on record forms the basis of our most ambitious project to date - Gin 1495. We handpicked a selection of spirit historians, writers and mixologists to verify the accuracy of the 1495 recipe. 
The panel then both replicated the original recipe (Gin 1495 - Verbatim) and created a modern interpretation (Gin 1495 - Interpretatio) with Jean-Sebastien Robicquet, oenologist, master distiller and founder of EWG Spirits & Wine.
Each aspect of production takes place in the grounds of Villevert, the 16th century family estate, which is home to the company headquarters. Maison Villevert has a 500 year history, steeped in winemaking and distilling, and this is the latest chapter.";False;
28;29;gin;1528 Cocoa Gin;;;https://ginventory.reed.be/api/v2/products/29/picture?type=normal;Pico Cacao;Spain;40;7.6;80.0;"1528's first product is Cocoa Gin, truly a gin with a soul of its own! 
It starts with distillation: carefully crafted in El Puerto de Santa Maria by Pico Cocoa, since 1824 a leader in the delicate trade of distilling cocoa. True to tradition, the Cocoa Gin results from bain-marie distillation in authentic copper alembics. The cocoa beans are grilled in the same workshop on a log fire. Truly craftsmanship with a capital C!  
This gin brings you back to the very soul of cocoa, “the essence of life”.
Cocoa Gin is all but a chocolate drink : a true dry gin structured on grilled cocoa beans. The highly original character of this gin results from the skilful inclusion of botanicals such as juniper berries, grilled cocoa beans, coriander, angelica root and seed, zests of calamondin and orange as well as peppermint. We satisfy ourselves only with the very best quality cocoa beans and botanicals so that this exceptional gin brings you honest pleasure.";False;
36;37;gin;1827 Wild Swan Gin;;;https://ginventory.reed.be/api/v2/products/37/picture?type=normal;Wild Swan Distilling Co.;Australia;37;7.5;1.0;"Taking a recipe that has been used for decades and giving it a slight tweak by including some locally sourced botanicals, this gin will provide gin lovers with an amazing drinking experience. For those that do not drink gin, try this and it will surely be added to your list of must have spirits.
Our pure spirit is re-distilled in the presence of carefully selected organic botanicals, including the Australian native – lemon myrtle. This adds a unique Australian flavour which is perfect for your favourite cocktail or mixer. Savour the spirit of life.
The 1827 represents the year that the Swan River was first explored by Captain James Stirling, who was to go on and be the first Governor of WA. He commented on the uniqueness of the Black Swans and the beauty of the Swan River. We are proud to have produced a gin that we believe encapsulates this uniqueness and commemorates the discovery of this great colony.
Just remember all good things to those who wait.";False;
37;38;gin;1830 Sahara Fine London Style Dry Gin;;;https://ginventory.reed.be/api/v2/products/38/picture?type=normal;Highwood Distillers;Canada;40;6.3;3.0;With patent in hand for his column still, Mr. Dubliner Coffey ushered in the modern era of ‘London Style’ dry gin in 1830. His still made the distilling of neutral spirits practical, and it is from that starting point we add our citrus elements - orange, lemon, lime and a mild juniper - to pleasure your palette. It is one of our finest offerings.;False;
38;39;gin;1831 Gin - Blue;1831 Gin;Blue;https://ginventory.reed.be/api/v2/products/39/picture?type=normal;Destilerías Manuel Acha;Spain;40;7.6;22.0;"Grain rectified alcohol, purified water, natural aromas.
On the nose, alcoholic and juniper notes. On entry into the mouth, flavors assembly predominance of juniper. Development towards a good body with herbal and fruity notes, with nice finish.";True;"Alcohol rectificado de grano, agua purificada, aromas naturales.
En nariz, notas alcohólicas y de enebro. En entrada en boca, ensamble de aromas con predominio del enebro. Desarrollo hacia un buen cuerpo con notas herbales y frutales, con final agradable."
39;40;gin;1835 Lone Star Gin;;;https://ginventory.reed.be/api/v2/products/40/picture?type=normal;North Texas Distillers;United States;40;8.1;5.0;This American gin is very strongly juniper driven and quite dry. It's made by North Texas Distillers and botteld at 40% ABV.;False;
40;41;gin;1836 Belgian Organic Gin;;;https://ginventory.reed.be/api/v2/products/41/picture?type=normal;Distillerie Radermacher;Belgium;40;8.3;271.0;"Founded in 1836, Radermacher Distillery is one of the oldest distilleries in Belgium.
1836 Bio Gin, the first certified organic Belgian gin, is undoubtedly one of the most beautiful reflections of the knowledge of nearly two centuries.
From an infusion of 11 fruits, roots and various plants such as juniper berry, bergamot, lemon peel, coriander, angelica, orange peel, cardamom, lavender, elderflower, cinnamon and pine in a certified organic grain distillate, 1836 Bio Gin is a pure concentration of aromatic richness.";False;
44;45;gin;1843 Gin;;;https://ginventory.reed.be/api/v2/products/45/picture?type=normal;Huber's Starlight Distillery;United States;46,2;7.3;5.0;Aromatic juniper, coriander and citrus zest combine with spicy nuances to make traditional martinis and exquisite cocktails.;False;
45;46;gin;1875 Gin Premium;;;https://ginventory.reed.be/api/v2/products/46/picture?type=normal;Destilleries Del Maresme;Spain;37,5;7.3;5.0;Our distillery born in 1875, this gin is a tribute to this eferméride. Retrieving the original formula of our first Dry Gin but updating its botanical contrasts. Our 1875 is a high quality triple distilled gin, juniper where the notes come great prominence, endowing it with a dry, aromatic flavor. Ideal to combine with the best tonics or your favorite cocktails.;True;"En 1875 nace nuestra destilería, esta ginebra es el homenaje a esta eferméride. Recuperando la fórmula original de nuestras primeras Dry Gin pero con la puesta al día en sus contrastes botánicos.
Nuestra 1875 es una ginebra tridestilada de gran calidad, donde las notas del enebro cobran gran protagonismo, dotándola de un sabor seco y aromático. Ideal para combinar con las mejores tónicas o con sus cocteles favoritos."
46;47;gin;1890 Ginebra Especial;;;https://ginventory.reed.be/api/v2/products/47/picture?type=normal;Destilerías De Constantina;Spain;38;7.0;3.0;It is located in the old distillery anise Belmonte in Seville and dates from the late nineteenth. The process of developing the products follows the traditional way of the sixteenth century, distilling in copper stills and oak wood. Constantina distilleries produce drinks like anise, sour cream, special gin 1890, 1890 and gin gin premium exotic, among others. Copper kettles, oak wood, anise, wild fruits, spring water and the wisdom of its founder, join to get their products, a real treat for the palate.;True;"Está ubicada en la antigua destilería de anís Belmonte en Sevilla y data de finales del XIX. El proceso de elaboración de los productos sigue la manera tradicional del siglo XVI, destilando en alambiques de cobre y con leña de encina. Destilerías de Constantina producen bebidas como el anís, crema de guindas, ginebra especial 1890, gin premium y ginebra 1890 exótica, entre otras.
Calderas de cobre, leña de encina, matalahúga, frutos silvestres, agua de manantial y la sabiduría de su fundador, se unen para conseguir sus productos, un verdadero placer para el paladar."
48;49;gin;1890 Ginebra Especial Exotica;;;https://ginventory.reed.be/api/v2/products/49/picture?type=normal;Destilerías De Constantina;Spain;38;8.2;29.0;It is located in the old distillery anise Belmonte in Seville and dates from the late nineteenth. The process of developing the products follows the traditional way of the sixteenth century, distilling in copper stills and oak wood. Constantina distilleries produce drinks like anise, sour cream, special gin 1890, 1890 and gin gin premium exotic, among others. Copper kettles, oak wood, anise, wild fruits, spring water and the wisdom of its founder, join to get their products, a real treat for the palate.;True;"Está ubicada en la antigua destilería de anís Belmonte en Sevilla y data de finales del XIX. El proceso de elaboración de los productos sigue la manera tradicional del siglo XVI, destilando en alambiques de cobre y con leña de encina. Destilerías de Constantina producen bebidas como el anís, crema de guindas, ginebra especial 1890, gin premium y ginebra 1890 exótica, entre otras.
Calderas de cobre, leña de encina, matalahúga, frutos silvestres, agua de manantial y la sabiduría de su fundador, se unen para conseguir sus productos, un verdadero placer para el paladar."
49;50;gin;1895 Gin Edición Limitada;;;https://ginventory.reed.be/api/v2/products/50/picture?type=normal;Destilerías El Tajo;Spain;40;6.9;1.0;Gin limited edition designed by Carmen Encinas 1895 for Ronda and Malaga Fair 2014. It has a long and pleasant persistence in the aftertaste with a retronasal that confirms the unity and firmness that the five distillations of wheat gives botanists, highlighting citrus almost compotados again.;True;Edición limitada de la ginebra 1895 diseñada por Carmen Encinas para la feria de Ronda y Málaga de 2014. Tiene una persistencia larga y agradable en el postgusto con una retronasal que confirma la unión y firmeza que las cinco destilaciones del trigo aporta a los botánicos, destacando nuevamente los cítricos casi compotados.
50;51;gin;1895 London Dry Gin;;;https://ginventory.reed.be/api/v2/products/51/picture?type=normal;Destilerías El Tajo;Spain;40;6.7;5.0;It has a long, nice persistent aftertaste. Its retronasal aroma confirms the unity and strength brought to the botanical by the quintuple wheat distillation. Almost stewed citrus fruits stand out once again.;False;
51;52;gin;1897 Quinine Gin;;;https://ginventory.reed.be/api/v2/products/52/picture?type=normal;1897 Quinine Gin;United Kingdom;45,8;8.1;33.0;"The London dry gin is made with cinchona bark, a traditional source of quinine which has been used as an antimalarial for centuries. It is vacuum-distilled, as are fellow botanicals pink and white grapefruit and lemon peels, for a complex, citrusy lift.
1897 Quinine Gin includes 10 other copper pot-distilled botanicals: juniper, coriander, angelica, orange, lemon, nutmeg, cassia, cinnamon, orris and liquorice.
1897 Quinine Gin donates at least £5 per bottle sold (over half of the profit) to support Malaria No More UK.";False;
52;53;gin;19 Flors;;;https://ginventory.reed.be/api/v2/products/53/picture?type=normal;Destilería la Vallesana, S.A.;Spain;40;7.2;13.0;The numer of botanicals for making this gin are 19, as its name suggests. It includes chamomile, angelica root, lemon peel or juniper berries. It is a fresh and aromatic product. The production of this gin is very limited.;True;El númer de botánicos para la elaboración de esta ginebra son 19, como su nombre indica. Incluye la manzanilla, raíz de angélica, piel de limón o bayas de enebro. Se trata de un producto fresco y aromático. La producción de esta ginebra es muy limitada.
55;56;gin;1911 Gin;;;https://ginventory.reed.be/api/v2/products/56/picture?type=normal;1911 Spirits;United States;44;8.3;38.0;Our premium 1911 small batch gin uses traditional botanicals such as Juniper, Coriander and Citrus as well as an unexpected infusion of apples to create a delicate, dry, clean, crisp taste. We chose to use a light infusion of botanicals in order to allow the taste of our smooth vodka to shine through, unlike most gins that use a heavy infusion to cover the taste. To create 1911 Gin we vaporize 1911 Vodka and run it through a botanical vessel filled with selected botanicals.;False;
57;58;gin;1947 Gin Aromatic;;;https://ginventory.reed.be/api/v2/products/58/picture?type=normal;Destilerías Rigo;Spain;40;7.1;9.0;1947 Aromatic Gin is made by hand by simple distillation in copper stills. His botanists are. juniper, rose petals, rosemary, orange peel and lemon Seville. The result is a smooth gin and citrus aftertaste, and light touches of anise and licorice, clean, and bright, by infusing juniper seeds. Good mouthfeel and sweet touch. It is also long, elegant, and pleasant with hints of juniper.;True;1947 Gin Aromatic se elabora artesanalmente por destilación simple en alambique de cobre. Sus botánicos son. enebro, pétalos de rosa, romero, cascara de naranja y limón sevillano. El resultado es una ginebra suave con regusto a cítricos, y ligeros toques a anís y regaliz, Limpia, y brillante, por la infusión de semillas de enebro. Buen paso de boca, y toque dulce. Además es larga, elegante, y agradable con recuerdos a enebro.
